Mês-ano;Mês-ano nota;VOLUME;UF;Categoria agrupada;Cód Rep.;CANAL VENDA;Cliente
01/11/2023;01/12/2023;15;SP;AGUA SANITARIA;722.0;VAREJO;62998505000144.0
01/11/2023;01/12/2023;40;SP;AGUA SANITARIA;722.0;VAREJO;62998505000144.0
01/11/2023;01/12/2023;10;SP;AGUA SANITARIA;722.0;VAREJO;62998505000144.0
01/10/2023;01/10/2023;30;SP;AGUA SANITARIA;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;30;SP;AGUA SANITARIA;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;15;SP;AGUA SANITARIA;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;3;SP;ALVEJANTE;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;10;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;10;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;5;SP;TIRA MANCHAS;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;10;SP;PINHO;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;5;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;5;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;5;SP;PINHO;726.0;VAREJO;5537395000180.0
01/10/2023;01/10/2023;10;SP;ALVEJANTE;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;50;SP;AGUA SANITARIA;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;20;SP;AGUA SANITARIA;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;30;SP;AGUA SANITARIA;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;10;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;15;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;5;SP;TIRA MANCHAS;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;10;SP;PINHO;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;5;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;3;SP;TIRA MANCHAS;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;5;SP;AMACIANTE;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;10;SP;LAVA ROUPAS;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;3;SP;PINHO;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;5;SP;PINHO;726.0;VAREJO;5537395000180.0
01/11/2023;01/12/2023;10;SP;LAVA LOU€AS;726.0;VAREJO;5537395000180.0
01/10/2023;01/11/2023;60;SP;AGUA SANITARIA;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;40;SP;AGUA SANITARIA;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;30;SP;AMACIANTE;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;CLORO GEL;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;CLORO GEL;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;DESINFETANTE;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;DESINFETANTE;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;PINHO;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;PINHO;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;DESINFETANTE;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;PINHO;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;30;SP;LAVA LOU€AS;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;10;SP;LAVA ROUPAS;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;TIRA MANCHAS;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;5;SP;TIRA MANCHAS;713.0;VAREJO;19845936000141.0
01/10/2023;01/11/2023;70;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/10/2023;01/11/2023;150;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/10/2023;01/11/2023;336;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/11/2023;01/12/2023;70;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/11/2023;01/12/2023;75;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/11/2023;01/12/2023;420;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/12/2023;01/12/2023;70;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/12/2023;01/12/2023;75;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/12/2023;01/12/2023;336;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000132.0
01/10/2023;01/11/2023;70;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
01/10/2023;01/11/2023;150;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
01/10/2023;01/11/2023;336;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
01/11/2023;01/11/2023;70;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
01/11/2023;01/11/2023;75;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
01/11/2023;01/11/2023;420;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
01/12/2023;01/01/2024;150;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
01/12/2023;01/01/2024;420;SP;AGUA SANITARIA;736.0;CASH & CARRY REGIONAL;12539517000213.0
